supplier_id,item_category,unit_cost,order_quantity,lead_time_days,historical_defect_rate,supplier_delay_score,esg_compliance,market_price_index,expected_cost,expected_delay,expected_defect_rate,procure_now,supply_risk_index
S3,Office,85.87,34,1,0.0700624358162301,0.8896090273156472,1,0.9283238028011783,3032.17,2,0.10051333057390606,0,0.5619270042771144
S4,Office,50.13,4,2,0.022419069883939893,0.6331075413988398,0,0.8487089086577831,1829.73,3,0.052072854026154504,0,0.40087596009020016
S1,Office,73.77,18,7,0.062172661530888185,0.6290303313512473,0,1.1318176647247906,4348.95,2,0.09915605652813816,0,0.44606999727001484
S3,Office,75.87,4,8,0.058973761255620316,0.1424426338324355,1,0.9011207465788492,3853.71,7,0.1296400090756228,1,0.1603005658190045
S3,Office,25.66,20,12,0.09704174793868638,0.03958372952589795,1,1.0051259816426426,3391.1,1,0.09387837509036749,1,0.13857704781143038
S4,Electronics,42.51,9,14,0.0060781842484669895,0.7014491379846196,1,1.0765372597956973,4692.84,8,0.06193379104437982,1,0.5226929380653118
S1,Office,67.36,16,3,0.01081226072960615,0.11705645896458661,0,0.9268300801576883,3101.5,5,0.1379704126078498,1,0.09490612502620524
S1,Office,16.36,26,11,0.050608346564575704,0.1269701494839327,0,1.0594546149489674,2803.45,0,0.12528248899041397,1,0.1699360222311609
S3,Electronics,42.54,38,12,0.052710982535363465,0.18750014634698497,0,0.9838838025766113,4890.62,7,0.13236528603717176,0,0.21402766828308575
S2,Electronics,58.13,25,13,0.003992765880517124,0.09774648313960244,0,1.0281746620495384,1427.06,9,0.13547880315604416,1,0.15270286250505946
S3,Electronics,99.66,4,8,0.08258554208594521,0.6253925204303068,1,1.0362304414467771,1138.86,5,0.05907184614904697,0,0.4571540320268248
S3,Electronics,52.71,41,1,0.04947234981028958,0.422004805848588,1,1.1296602747587545,1230.27,3,0.12894585112610027,1,0.27518744559509684
S3,Electronics,83.45,45,9,0.03466437466405288,0.26609609240954823,1,1.0625305093741346,4952.49,5,0.08555245068700466,1,0.23434268213065912
S3,Electronics,48.89,41,12,0.031885377061487585,0.4407494003715766,0,0.9057226768737642,3435.13,1,0.005723846033106011,1,0.35972953905567795
S4,Office,81.68,38,2,0.08614071815541813,0.8441400020651998,0,0.8238417364553785,1876.65,0,0.09537545347801764,0,0.5466119309714595
S1,Office,63.59,19,14,0.019673286642818033,0.9270794050436362,1,0.8007942176300531,1620.4,5,0.07059283864417429,0,0.6621496290190271
S4,RawMaterial,89.79,14,13,0.016041770543260926,0.4874761446534416,1,1.161766953906798,754.87,7,0.041273198878094615,1,0.39015536081218605
S4,Office,46.98,21,2,0.02131785292232832,0.5667529151128025,1,1.1768440207208823,1093.76,4,0.14555747100705593,1,0.36073281923009426
S4,Office,64.39,15,4,0.06250225476519637,0.2571999303398729,0,0.8376445950658672,4586.78,7,0.008260628743946114,0,0.2016420632049112
S3,Electronics,66.7,3,12,0.08109308556284092,0.5136003786371193,1,0.9948214473128992,3863.03,2,0.14188160860605997,1,0.4182024385654095
S2,Electronics,47.56,37,10,0.03309786937881796,0.7481196069352322,0,0.8606380813842138,4737.02,5,0.02389005909519572,0,0.530229696403356
S1,Office,22.99,46,3,0.017346199811481288,0.4921372636561695,1,1.1794996346816338,2406.79,0,0.05654822689507982,1,0.3219147895657175
S2,RawMaterial,18.42,16,4,0.020919416762862054,0.3020729007891697,1,0.8987330067290095,3205.57,2,0.0625852763129024,1,0.216090994073789
S4,Electronics,11.5,14,6,0.061918377851785104,0.5820343472249591,0,1.0006588382387995,2676.52,3,0.10965307779912208,0,0.41065326454765383
S4,Office,88.62,9,7,0.024603522621422992,0.9466560308858446,0,0.8662480766931667,4466.23,4,0.03234138131050568,0,0.6253746753179337
S2,Office,31.28,47,5,0.08772802313513668,0.8879838539831117,0,0.9331044338012249,4961.22,2,0.1479152764841309,0,0.5948230050446938
S2,RawMaterial,29.04,7,2,0.010389135441431397,0.7692423791754562,1,0.9067225443708724,4697.49,7,0.11235177791460343,1,0.4789478824234174
S2,RawMaterial,76.24,14,3,0.00323685340055202,0.27620963266520904,0,0.9901704171888742,3191.25,4,0.11849289575205821,0,0.18812540704786246
S4,Electronics,38.8,6,10,0.008837824596090393,0.2415595072164014,1,0.9679127848088593,778.11,6,0.015964315907234173,1,0.21901562313723938
